id,name,display_desc,category,location,img,name_short,category_corrected
4761,Mediterranean Salad with Chicken - Egg Allergy-friendly,tossed in a Mediterranean Vinaigrette and served with Hummus and Flatbread,Entree,Columbia Harbor House,salad_garden_salad_with_chicken.png,Chicken Mediterranean Salad,
4764,Mediterranean Salad with Chicken - Milk Allergy-friendly,tossed in Oil and Vinegar and served with Hummus,Entree,Columbia Harbor House,salad_garden_salad_with_chicken.png,Chicken Mediterranean Salad,
4766,1/3 lb Angus Bacon Cheeseburger - Egg Allergy-friendly,"served with your choice of fresh Green Beans, Apple Slices or French Fries",Entree,Columbia Harbor House,burger_angus_bacon_cheeseburger.jpeg,1/3 lb Angus Bacon Cheeseburger,
4767,Vegan Burger - Egg Allergy-friendly,"served with your choice of fresh Green Beans, Apple Slices or French Fries",Entree,Columbia Harbor House,burger_vegan.png,Vegan Burger,
4768,Chicken Breast Strips - Egg Allergy-friendly,"served with your choice of fresh Green Beans, Apple Slices or French Fries",Entree,Columbia Harbor House,fried_chicken-strips.png,Chicken Strips,
4769,Chicken Club - Egg Allergy-friendly,served with Green Beans and French Fries or Apple Slices,Entree,Columbia Harbor House,sandwich_chicken_club.jpg,Chicken Club,
4771,1/3 lb Angus Bacon Cheeseburger - Fish/Shellfish Allergy-friendly,served with your choice of fresh Green Beans or Apple Slices,Entree,Columbia Harbor House,burger_angus_bacon_cheeseburger.jpeg,1/3 lb Angus Bacon Cheeseburger,
4772,Vegan Burger - Fish/Shellfish Allergy-friendly,served with your choice of fresh Green Beans or Apple Slices,Entree,Columbia Harbor House,burger_vegan.png,Vegan Burger,
4773,Chicken Club - Fish/Shellfish Allergy-friendly,served with Coleslaw and choice of Green Beans or Apple Slices,Entree,Columbia Harbor House,sandwich_chicken_club.jpg,Chicken Club,
4774,BBQ Ribs Platter - Fish/Shellfish Allergy-friendly,served with Coleslaw and choice of Green Beans or Apple Slices,Entree,Columbia Harbor House,Ribs.png,BBQ Ribs Platter,
4775,1/3 lb Angus Bacon Burger - Milk Allergy-friendly,"served with your choice of fresh Green Beans, Apple Slices or French Fries",Entree,Columbia Harbor House,burger_angus_bacon_cheeseburger.jpeg,1/3 lb Angus Bacon Burger,
4776,Vegan Burger - Milk Allergy-friendly,"served with your choice of fresh Green Beans, Apple Slices or French Fries",Entree,Columbia Harbor House,burger_vegan.png,Vegan Burger,
4777,Chicken Breast Strips - Milk Allergy-friendly,"served with your choice of fresh Green Beans, Apple Slices or French Fries",Entree,Columbia Harbor House,fried_chicken-strips.png,Chicken Strips,
